Store Name,SKU,Product Name,Opening Stock (Table),Movement History,Expected Stock,Current Stock (DB),Discrepancy
สาขา0000,SKU-889591-s793a,ไม้ม๊อบ 10 นิ้ว,120,0,120,0,-120
สาขา0000,SKU-889591-dyvaj,กระป๋องตักทราย RX789-48,119,0,119,0,-119
สาขา0000,SKU-889591-i3tv3,หินลับมีด,108,0,108,0,-108
สาขา0000,SKU-889591-isfom,ชุดเล่นทรายถัง 9208,107,48,155,48,-107
สาขา0000,SKU-889591-dwbpj,ชุดเล่นทรายถาดปู+บัว+ถัง No.9242,107,192,299,192,-107
สาขา0000,SKU-889591-rvqb7,ชุดเดรสยาวแฟชั่น ,106,-3,103,-3,-106
สาขา0000,SKU-889591-i2gp2,ชุดตักทรายถาดปู สีพาสเทล,103,96,199,96,-103
สาขา0000,SKU-889591-izuez,ผ้าเช็ดอเนกประสงค์สีน้ำเงิน,100,1500,1600,1500,-100
สาขา0000,SKU-889591-aovrr,แปรงขัดห้องน้ำ,96,0,96,0,-96
สาขา0000,SKU-889591-m2hjk,ชุดตักทราย RX789-166,89,0,89,0,-89
สาขา0000,SKU-889591-wti57,หมวกว่ายน้ำ ซิลิโคน,84,0,84,0,-84
สาขา0000,SKU-889591-obev0,แปรงขัดพื้นมีด้าม,76,0,76,0,-76
สาขา0000,SKU-889591-odoft,เสื้อแขนยาว แฟชั่น,76,0,76,0,-76
สาขา0000,SKU-889591-kdrqm,ชุดเดรสสั้น,78,-2,76,2,-74
สาขา0000,SKU-889591-z4zlm,ช้อน+ส้อม,72,0,72,0,-72
สาขา0000,SKU-889591-j1gsu,รถดั้ม+ชุดเล่นทราย 5562,68,0,68,0,-68
สาขา0000,SKU-889591-6bsgk,ชุดเดรสยาว คละสี,67,-8,59,-8,-67
สาขา0000,SKU-889591-6vhqq,ตักทรายถังปราสาท 2031,64,-1,63,-1,-64
สาขา0000,SKU-889591-nb70u,กระป๋องตักทราย,63,0,63,0,-63
สาขา0000,SKU-889591-ch5gr,ขวดแบ่งน้ำยาล้างจาน 450มล.,63,0,63,0,-63
สาขา0000,SKU-889591-o4lw8,เสื้อ+กางเกง แฟชั่น,55,-2,53,-2,-55
สาขา0000,SKU-889591-i7b61,เสื้อเชิ้ตแขนสั้น แฟชั่น ผู้หญิง,53,-1,52,-1,-53
สาขา0000,SKU-889591-02sdh,เสื้อเชิ้ตแขนสั้น แฟชั่น ผู้ชาย,49,-1,48,-1,-49
สาขา0000,SKU-889591-e7k2v,ที่โกยขยะแบบสังกะสี,46,0,46,0,-46
สาขา0000,SKU-889591-14wc0,ชุดตักทรายรถเข็นจัมโบ้ 9241,45,48,93,48,-45
สาขา0000,SKU-889591-3jd4g,ชุดตักทรายกระป๋อง C224,44,0,44,0,-44
สาขา0000,SKU-889591-wo75i,ชุดเดรส,42,-1,41,-1,-42
สาขา0000,SKU-889591-bt2u6,กระป๋องตักทราย GE10611,39,0,39,0,-39
สาขา0000,SKU-889591-otqmh,กระป๋องตักทราย GE10612,39,0,39,0,-39
สาขา0000,SKU-889591-nrkow,กระโปรงแฟชั่น คละสี,38,-1,37,-1,-38
สาขา0000,SKU-889591-539v4,แม่เหล็กปลดล๊อค,37,0,37,0,-37
สาขา0000,SKU-889591-dg3s7,ถุงมือยางส้ม,36,0,36,0,-36
สาขา0000,SKU-889591-6e4f4,ด้ามพร้อมก้านยางกรีดกระจก 35 ซม,36,0,36,0,-36
สาขา0000,SKU-889591-9h7yn,สน๊อกเกิ้ลดำน้ำเด็ก คละแบบ,35,484,519,484,-35
สาขา0000,SKU-889591-6whui,ไม้ปัดหยากไย่,32,0,32,0,-32
สาขา0000,SKU-889591-1196c,กางเกงขาสั้น คละลาย (ลายช้าง/ลายต้นมะพร้าว),36,3,39,8,-31
สาขา0000,SKU-889591-as4tw,ชุดตักทรายถาดปู #9211,30,0,30,0,-30
สาขา0000,SKU-889591-mv0qu,แม่เหล็กล็อคฮุก,26,100,126,100,-26
สาขา0000,SKU-889591-s5ql0,เป่าฟองแท่ง-โดราเอมอน D-8482,25,0,25,0,-25
สาขา0000,SKU-889591-5pg2w,ม๊อบดันฝุ่นพร้อมผ้าขนาด 24 นิ้ว,24,60,84,60,-24
สาขา0000,SKU-889591-3jbdn,รถดั๊มพ์จัมโบ้+ชุดเล่นทราย 719,23,0,23,0,-23
สาขา0000,SKU-889591-krrqj,เบ็ดเตล็ด คละแบบ #1,23,-1,22,-1,-23
สาขา0000,SKU-889591-w3cnw,แม๊กเน็ตติดตู้เย็น คละแบบ,22,0,22,0,-22
สาขา0000,SKU-889591-xxqrg,ไม้ปาดน้ำพื้นพร้อมยาง,18,0,18,0,-18
สาขา0000,SKU-889591-38c27,ชุดตักทรายถังปราสาท #9268,18,0,18,0,-18
สาขา0000,SKU-889591-31a7n,ชุดเดรสสายเดี่ยว คละสี,16,-2,14,-2,-16
สาขา0000,SKU-889591-akqku,ของเล่น ชุดโบว์ลิ่ง No.9924,15,0,15,0,-15
สาขา0000,SKU-889591-8vbmz,ตักทราย+บัวรดน้ำรูปช้าง 341,15,0,15,0,-15
สาขา0000,SKU-889591-p8xj1,ชุดเรือตักทราย-โดราเอมอน D-8383,11,0,11,0,-11
สาขา0000,SKU-889591-lbmrg,ชุดตักทราย(รถเข็น)-โดราเอมอน D-8384,10,0,10,0,-10
สาขา0000,SKU-889591-gey7q,ชุดเดรสยาว คละแบบ,8,-1,7,-1,-8
สาขา0000,SKU-889591-r6pvj,เสื้อเชิ้ตแฟชั่น ผู้ชาย,7,0,7,0,-7
สาขา0000,SKU-889591-ycxuw,กระชอนสำหรับตักไขมัน,6,60,66,60,-6
สาขา0000,SKU-889591-yc96s,ตักทรายถังปราสาท 1456-2,5,0,5,0,-5
สาขา0000,SKU-889591-un5xj,ตักทรายรถดั้ม+อุปกรณ์ 5510,5,0,5,0,-5
สาขา0000,SKU-889591-18e27,ที่ใส่สก๊อตไบรท์+ฟองน้ำ,2,0,2,0,-2
สาขา0000,SKU-889591-tklyz,เป่าฟองใส-แอเรียล PR-2880,2,0,2,0,-2
